sexual_orientation,religion,actor_facebook_likes,name,race
Straight,Na,3000,Russell Crowe,White
Straight,Na,3000,Russell Crowe,White
Straight,Protestant,11000,Charlton Heston,White
Straight,Protestant,11000,Charlton Heston,White
Straight,Na,23000,Daniel Day-Lewis,White
Straight,Na,23000,Daniel Day-Lewis,White
Straight,Born-Again Christian,15000,Tom Hanks,White
Straight,Born-Again Christian,15000,Tom Hanks,White
Straight,Na,14000,Broderick Crawford,White
Straight,Na,14000,Broderick Crawford,White
Straight,Na,4000,Ingrid Bergman,White
Straight,Na,4000,Ingrid Bergman,White
Straight,Atheist,625,Jack Nicholson,White
Straight,Na,625,Helen Hunt,White
Straight,Atheist,625,Jack Nicholson,White
Straight,Na,625,Helen Hunt,White
Straight,Hindu,8000,Julia Roberts,White
Straight,Hindu,8000,Julia Roberts,White
Straight,Protestant,18000,Denzel Washington,Black
Straight,Protestant,18000,Denzel Washington,Black
Straight,Baptist,904,Jamie Foxx,Black
Straight,Baptist,904,Jamie Foxx,Black
Bisexual,Atheist,293,Katharine Hepburn,White
Bisexual,Atheist,293,Katharine Hepburn,White
Straight,Na,768,Sandra Bullock,White
Straight,Na,768,Sandra Bullock,White
Straight,Roman Catholic,13000,John Wayne,White
Straight,Roman Catholic,13000,John Wayne,White
Straight,Jewish,396,Adrien Brody,White
Straight,Jewish,396,Adrien Brody,White
Straight,Na,14000,Kate Winslet,White
Straight,Na,14000,Kate Winslet,White
Straight,Roman Catholic,616,Sean Penn,White
Straight,Roman Catholic,616,Sean Penn,White
Straight,Na,16000,Hilary Swank,White
Straight,Na,16000,Hilary Swank,White
Straight,Na,16000,Hilary Swank,White
Straight,Na,16000,Hilary Swank,White
Straight,Na,16000,Hilary Swank,White
Straight,Na,16000,Hilary Swank,White
Straight,Na,523,Reese Witherspoon,White
Straight,Na,523,Reese Witherspoon,White
Straight,Jewish,1000,Gwyneth Paltrow,White
Straight,Jewish,1000,Gwyneth Paltrow,White
Straight,Jewish,1000,Gwyneth Paltrow,White
Straight,Jewish,1000,Gwyneth Paltrow,White
Straight,Na,272,Daniel Day-Lewis,White
Straight,Na,272,Daniel Day-Lewis,White
Straight,Roman Catholic,11000,Nicole Kidman,White
Straight,Roman Catholic,11000,Nicole Kidman,White
Straight,Quaker,545,Ben Kingsley,Multiracial
Straight,Quaker,545,Ben Kingsley,Multiracial
Na,Na,34000,Jennifer Lawrence,White
Na,Na,34000,Jennifer Lawrence,White
Lesbian,Atheist,12000,Jodie Foster,White
Lesbian,Atheist,12000,Jodie Foster,White
Straight,Na,813,Gene Hackman,White
Straight,Na,813,Gene Hackman,White
Straight,Roman Catholic,11000,Sean Penn,White
Straight,Roman Catholic,11000,Sean Penn,White
Straight,Na,692,F. Murray Abraham,Middle Eastern
Straight,Na,692,F. Murray Abraham,Middle Eastern
Straight,Na,594,Cate Blanchett,White
Straight,Na,594,Cate Blanchett,White
Straight,Roman Catholic,22000,Robert De Niro,White
Straight,Roman Catholic,22000,Robert De Niro,White
Bisexual,Na,597,Laurence Olivier,White
Bisexual,Na,597,Laurence Olivier,White
Straight,Na,453,Rex Harrison,White
Straight,Na,453,Rex Harrison,White
Straight,Jewish,826,Michael Douglas,White
Straight,Jewish,826,Michael Douglas,White
Straight,Na,996,Jean Dujardin,White
Straight,Na,996,Jean Dujardin,White
Straight,Born-Again Christian,18000,Tom Hanks,White
Straight,Born-Again Christian,18000,Tom Hanks,White
Straight,Born-Again Christian,18000,Tom Hanks,White
Straight,Born-Again Christian,18000,Tom Hanks,White
Matter of Dispute,Na,18000,Kevin Spacey,White
Matter of Dispute,Na,18000,Kevin Spacey,White
Straight,Na,14000,Colin Firth,White
Straight,Na,14000,Colin Firth,White
Straight,Protestant,11000,Charlton Heston,White
Straight,Protestant,11000,Charlton Heston,White
Straight,Na,874,Sissy Spacek,White
Straight,Na,874,Sissy Spacek,White
Straight,Na,326,Helen Mirren,White
Straight,Na,326,Helen Mirren,White
Straight,Na,11000,Meryl Streep,White
Straight,Na,11000,Meryl Streep,White
Straight,Jewish,20000,Natalie Portman,White
Straight,Jewish,20000,Natalie Portman,White
Straight,Na,654,George C. Scott,White
Straight,Na,654,George C. Scott,White
Straight,Roman Catholic,276,Susan Sarandon,White
Straight,Roman Catholic,276,Susan Sarandon,White
Straight,Jewish,10000,Paul Newman,White
Straight,Jewish,10000,Paul Newman,White
Straight,Lutheran,12000,Jeff Bridges,White
Straight,Lutheran,12000,Jeff Bridges,White
Straight,Na,12000,Emma Thompson,White
Straight,Na,12000,Emma Thompson,White
Straight,Na,11000,Jessica Tandy,White
Straight,Na,11000,Jessica Tandy,White
Bisexual,Deist,14000,Marlon Brando,White
Bisexual,Deist,14000,Marlon Brando,White
Straight,Na,1000,Holly Hunter,White
Straight,Na,1000,Holly Hunter,White
Straight,Na,22000,Philip Seymour Hoffman,White
Straight,Na,22000,Philip Seymour Hoffman,White
Straight,Disciples of Christ,4000,Frances McDormand,White
Straight,Disciples of Christ,4000,Frances McDormand,White
Straight,Na,382,Julie Andrews,White
Straight,Na,382,Julie Andrews,White
Straight,Na,1000,Forest Whitaker,Black
Straight,Na,1000,Forest Whitaker,Black
Straight,Na,509,Geoffrey Rush,White
Straight,Na,509,Geoffrey Rush,White
Straight,Na,9000,Charlize Theron,White
Straight,Na,9000,Charlize Theron,White
Straight,Na,11000,Matthew McConaughey,White
Straight,Na,11000,Matthew McConaughey,White
Straight,Atheist,888,Jack Nicholson,White
Straight,Na,888,Louise Fletcher,White
Straight,Atheist,888,Jack Nicholson,White
Straight,Na,888,Louise Fletcher,White
Straight,Atheist,11000,Diane Keaton,White
Straight,Atheist,11000,Diane Keaton,White
Straight,Na,13000,Halle Berry,Multiracial
Straight,Na,13000,Halle Berry,Multiracial
Straight,Roman Catholic,12000,Nicolas Cage,White
Straight,Roman Catholic,12000,Nicolas Cage,White
Straight,Protestant,11000,Charlton Heston,White
Straight,Protestant,11000,Charlton Heston,White
Straight,Na,559,Paul Scofield,White
Straight,Na,559,Paul Scofield,White
Straight,Na,3000,Peter Finch,White
Straight,Roman Catholic,3000,Faye Dunaway,White
Straight,Roman Catholic,3000,Faye Dunaway,White
Straight,Na,3000,Peter Finch,White
Straight,Roman Catholic,3000,Faye Dunaway,White
Straight,Roman Catholic,3000,Faye Dunaway,White
Straight,Roman Catholic,503,Vivien Leigh,White
Straight,Roman Catholic,503,Vivien Leigh,White
Straight,Roman Catholic,878,Jon Voight,White
Straight,Born-Again Christian,878,Jane Fonda,White
Straight,Roman Catholic,878,Jon Voight,White
Straight,Born-Again Christian,878,Jane Fonda,White
Bisexual,Roman Catholic,682,Alec Guinness,White
Bisexual,Roman Catholic,682,Alec Guinness,White
Straight,Protestant,556,Burt Lancaster,White
Straight,Protestant,556,Burt Lancaster,White
Straight,Roman Catholic,617,Patricia Neal,White
Straight,Roman Catholic,617,Patricia Neal,White
Straight,Na,813,Gene Hackman,White
Straight,Na,813,Gene Hackman,White
Straight,Na,749,Fredric March,White
Straight,Na,749,Fredric March,White
Straight,Lutheran,480,Rod Steiger,White
Straight,Lutheran,480,Rod Steiger,White
Straight,Roman Catholic,3000,Gregory Peck,White
Straight,Roman Catholic,3000,Gregory Peck,White
Straight,Na,173,Hilary Swank,White
Straight,Na,173,Hilary Swank,White
Bisexual,Na,597,Laurence Olivier,White
Bisexual,Na,597,Laurence Olivier,White
Straight,Roman Catholic,10000,Vivien Leigh,White
Straight,Roman Catholic,10000,Vivien Leigh,White
Straight,Na,287,Ray Milland,White
Straight,Na,287,Ray Milland,White
Straight,Na,754,Cliff Robertson,White
Straight,Na,754,Cliff Robertson,White
Bisexual,Deist,10000,Marlon Brando,White
Bisexual,Deist,10000,Marlon Brando,White
Straight,Roman Catholic,998,Gary Cooper,White
Straight,Roman Catholic,998,Gary Cooper,White
Straight,Roman Catholic,998,Gary Cooper,White
Straight,Roman Catholic,998,Gary Cooper,White
Straight,Na,380,Clark Gable,White
Straight,Na,380,Claudette Colbert,White
Straight,Na,380,Clark Gable,White
Straight,Na,380,Claudette Colbert,White
